"id","quantity","seller_id","buyer_id","energy_source","settlement_price_sell","settlement_price_buy","fee_ask","fee_bid","time_creation","time_purchase","time_consumption"
1,10,grid,R10,grid,0.1449,0.1449,,,1530428400,1530428460,1530428460
2,11,grid,R11,grid,0.1449,0.1449,,,1530428400,1530428460,1530428460
3,11,grid,R7,grid,0.1449,0.1449,,,1530428400,1530428460,1530428460
4,15,grid,R14,grid,0.1449,0.1449,,,1530428400,1530428460,1530428460
5,7,grid,R8,grid,0.1449,0.1449,,,1530428400,1530428460,1530428460
6,18,grid,R12,grid,0.1449,0.1449,,,1530428400,1530428460,1530428460
7,5,grid,R13,grid,0.1449,0.1449,,,1530428400,1530428460,1530428460
8,7,grid,R9,grid,0.1449,0.1449,,,1530428400,1530428460,1530428460
9,8,grid,R5,grid,0.1449,0.1449,,,1530428400,1530428460,1530428460
10,23,grid,R6,grid,0.1449,0.1449,,,1530428400,1530428460,1530428460
11,10,grid,R10,grid,0.1449,0.1449,,,1530428460,1530428520,1530428520
12,11,grid,R11,grid,0.1449,0.1449,,,1530428460,1530428520,1530428520
13,11,grid,R7,grid,0.1449,0.1449,,,1530428460,1530428520,1530428520
14,15,grid,R14,grid,0.1449,0.1449,,,1530428460,1530428520,1530428520
15,7,grid,R8,grid,0.1449,0.1449,,,1530428460,1530428520,1530428520
16,18,grid,R12,grid,0.1449,0.1449,,,1530428460,1530428520,1530428520
17,5,grid,R13,grid,0.1449,0.1449,,,1530428460,1530428520,1530428520
18,8,grid,R9,grid,0.1449,0.1449,,,1530428460,1530428520,1530428520
19,8,grid,R5,grid,0.1449,0.1449,,,1530428460,1530428520,1530428520
20,23,grid,R6,grid,0.1449,0.1449,,,1530428460,1530428520,1530428520
21,3,R14,R10,grid,0.0,-0.1449,,,1530428520,1530428580,
22,16,R7,R12,grid,0.0,-0.1449,,,1530428520,1530428580,
23,3,R14,R12,grid,0.0,-0.1449,,,1530428520,1530428580,
24,6,R14,R9,grid,0.0,-0.1449,,,1530428520,1530428580,
25,9,R14,R6,grid,0.0,-0.1449,,,1530428520,1530428580,
26,10,grid,R10,grid,0.1449,0.1449,,,1530428520,1530428580,1530428580
27,11,grid,R11,grid,0.1449,0.1449,,,1530428520,1530428580,1530428580
28,12,grid,R7,grid,0.1449,0.1449,,,1530428520,1530428580,1530428580
29,15,grid,R14,grid,0.1449,0.1449,,,1530428520,1530428580,1530428580
30,7,grid,R8,grid,0.1449,0.1449,,,1530428520,1530428580,1530428580
31,18,grid,R12,grid,0.1449,0.1449,,,1530428520,1530428580,1530428580
32,5,grid,R13,grid,0.1449,0.1449,,,1530428520,1530428580,1530428580
33,6,grid,R9,grid,0.1449,0.1449,,,1530428520,1530428580,1530428580
34,11,grid,R5,grid,0.1449,0.1449,,,1530428520,1530428580,1530428580
35,23,grid,R6,grid,0.1449,0.1449,,,1530428520,1530428580,1530428580
36,11,R6,R11,solar,0.0802,0.0869,,,1530428580,1530428580,1530428640
37,6,R10,R11,grid,0.0,-0.1449,,,1530428580,1530428640,
38,5,R6,R11,solar,0.0802,0.0869,,,1530428580,1530428580,
39,1,R10,R12,grid,0.0,-0.1449,,,1530428580,1530428640,
40,6,R7,R12,grid,0.0,-0.1449,,,1530428580,1530428640,
41,10,grid,R10,grid,0.1449,0.1449,,,1530428580,1530428640,1530428640
42,13,grid,R7,grid,0.1449,0.1449,,,1530428580,1530428640,1530428640
43,15,grid,R14,grid,0.1449,0.1449,,,1530428580,1530428640,1530428640
44,7,grid,R8,grid,0.1449,0.1449,,,1530428580,1530428640,1530428640
45,16,grid,R12,grid,0.1449,0.1449,,,1530428580,1530428640,1530428640
46,5,grid,R13,grid,0.1449,0.1449,,,1530428580,1530428640,1530428640
47,7,grid,R9,grid,0.1449,0.1449,,,1530428580,1530428640,1530428640
48,10,grid,R5,grid,0.1449,0.1449,,,1530428580,1530428640,1530428640
49,22,grid,R6,grid,0.1449,0.1449,,,1530428580,1530428640,1530428640
50,10,R11,R10,solar,0.0819,0.1264,,,1530428640,1530428640,1530428700
51,1,R11,R10,solar,0.0819,0.1264,,,1530428640,1530428640,
52,7,R5,R10,solar,0.0702,0.1264,,,1530428640,1530428640,
53,12,R11,R7,grid,0.0,-0.1449,,,1530428640,1530428700,
54,14,R11,R12,grid,0.0,-0.1449,,,1530428640,1530428700,
55,11,grid,R11,grid,0.1449,0.1449,,,1530428640,1530428700,1530428700
56,13,grid,R7,grid,0.1449,0.1449,,,1530428640,1530428700,1530428700
57,14,grid,R14,grid,0.1449,0.1449,,,1530428640,1530428700,1530428700
58,7,grid,R8,grid,0.1449,0.1449,,,1530428640,1530428700,1530428700
59,15,grid,R12,grid,0.1449,0.1449,,,1530428640,1530428700,1530428700
60,5,grid,R13,grid,0.1449,0.1449,,,1530428640,1530428700,1530428700
61,7,grid,R9,grid,0.1449,0.1449,,,1530428640,1530428700,1530428700
62,8,grid,R5,grid,0.1449,0.1449,,,1530428640,1530428700,1530428700
63,13,grid,R6,grid,0.1449,0.1449,,,1530428640,1530428700,1530428700
64,4,R8,R11,grid,0.0,-0.1449,,,1530428700,1530428760,
65,3,R9,R11,grid,0.0,-0.1449,,,1530428700,1530428760,
66,11,R6,R7,grid,0.0,-0.1449,,,1530428700,1530428760,
67,9,R8,R14,grid,0.0,-0.1449,,,1530428700,1530428760,
68,7,R13,R12,grid,0.0,-0.1449,,,1530428700,1530428760,
69,7,R9,R12,grid,0.0,-0.1449,,,1530428700,1530428760,
70,1,R6,R12,grid,0.0,-0.1449,,,1530428700,1530428760,
71,10,grid,R10,grid,0.1449,0.1449,,,1530428700,1530428760,1530428760
72,10,grid,R11,grid,0.1449,0.1449,,,1530428700,1530428760,1530428760
73,13,grid,R7,grid,0.1449,0.1449,,,1530428700,1530428760,1530428760
74,14,grid,R14,grid,0.1449,0.1449,,,1530428700,1530428760,1530428760
75,7,grid,R8,grid,0.1449,0.1449,,,1530428700,1530428760,1530428760
76,16,grid,R12,grid,0.1449,0.1449,,,1530428700,1530428760,1530428760
77,4,grid,R13,grid,0.1449,0.1449,,,1530428700,1530428760,1530428760
78,8,grid,R9,grid,0.1449,0.1449,,,1530428700,1530428760,1530428760
79,8,grid,R5,grid,0.1449,0.1449,,,1530428700,1530428760,1530428760
80,10,grid,R6,grid,0.1449,0.1449,,,1530428700,1530428760,1530428760
81,3,R10,R7,grid,0.0,-0.1449,,,1530428760,1530428820,
82,1,R10,R8,grid,0.0,-0.1449,,,1530428760,1530428820,
83,10,grid,R10,grid,0.1449,0.1449,,,1530428760,1530428820,1530428820
84,10,grid,R11,grid,0.1449,0.1449,,,1530428760,1530428820,1530428820
85,21,grid,R7,grid,0.1449,0.1449,,,1530428760,1530428820,1530428820
86,14,grid,R14,grid,0.1449,0.1449,,,1530428760,1530428820,1530428820
87,7,grid,R8,grid,0.1449,0.1449,,,1530428760,1530428820,1530428820
88,28,grid,R12,grid,0.1449,0.1449,,,1530428760,1530428820,1530428820
89,3,grid,R13,grid,0.1449,0.1449,,,1530428760,1530428820,1530428820
90,9,grid,R9,grid,0.1449,0.1449,,,1530428760,1530428820,1530428820
91,8,grid,R5,grid,0.1449,0.1449,,,1530428760,1530428820,1530428820
92,10,grid,R6,grid,0.1449,0.1449,,,1530428760,1530428820,1530428820
93,11,R9,R10,solar,0.084,0.1215,,,1530428820,1530428820,1530428880
94,7,R11,R8,solar,0.0729,0.1272,,,1530428820,1530428820,1530428880
95,10,R9,R6,solar,0.084,0.1009,,,1530428820,1530428820,1530428880
96,5,R11,R10,grid,0.0,-0.1449,,,1530428820,1530428880,
