"id","quantity","seller_id","buyer_id","energy_source","settlement_price_sell","settlement_price_buy","fee_ask","fee_bid","time_creation","time_purchase","time_consumption"
71,10,R6,R6,solar,0.0,0.0,,,1433160000,1433163600,1433163600
72,1330,grid,R6,grid,0.1449,0.1449,,,1433160000,1433163600,1433163600
73,40,R5,R5,solar,0.0,0.0,,,1433160000,1433163600,1433163600
74,502,grid,R5,grid,0.1449,0.1449,,,1433160000,1433163600,1433163600
75,4,R13,R13,solar,0.0,0.0,,,1433160000,1433163600,1433163600
76,2397,grid,R13,grid,0.1449,0.1449,,,1433160000,1433163600,1433163600
77,218,grid,R11,grid,0.1449,0.1449,,,1433160000,1433163600,1433163600
78,176,grid,R8,grid,0.1449,0.1449,,,1433160000,1433163600,1433163600
79,51,R10,R10,solar,0.0,0.0,,,1433160000,1433163600,1433163600
80,2845,grid,R10,grid,0.1449,0.1449,,,1433160000,1433163600,1433163600
81,504,grid,R9,grid,0.1449,0.1449,,,1433160000,1433163600,1433163600
82,33,R7,R7,solar,0.0,0.0,,,1433160000,1433163600,1433163600
83,258,grid,R7,grid,0.1449,0.1449,,,1433160000,1433163600,1433163600
84,7,R12,R12,solar,0.0,0.0,,,1433160000,1433163600,1433163600
85,591,grid,R12,grid,0.1449,0.1449,,,1433160000,1433163600,1433163600
86,27,R14,R14,solar,0.0,0.0,,,1433160000,1433163600,1433163600
87,921,grid,R14,grid,0.1449,0.1449,,,1433160000,1433163600,1433163600
88,289,R6,R6,solar,0.0,0.0,,,1433163600,1433167200,1433167200
89,989,grid,R6,grid,0.1449,0.1449,,,1433163600,1433167200,1433167200
90,801,R5,R5,solar,0.0,0.0,,,1433163600,1433167200,1433167200
91,244,R5,grid,solar,0.069,0.069,,,1433163600,1433167200,1433167200
92,254,R13,R13,solar,0.0,0.0,,,1433163600,1433167200,1433167200
93,2208,grid,R13,grid,0.1449,0.1449,,,1433163600,1433167200,1433167200
94,212,grid,R11,grid,0.1449,0.1449,,,1433163600,1433167200,1433167200
95,348,grid,R8,grid,0.1449,0.1449,,,1433163600,1433167200,1433167200
96,1116,R10,R10,solar,0.0,0.0,,,1433163600,1433167200,1433167200
97,3465,grid,R10,grid,0.1449,0.1449,,,1433163600,1433167200,1433167200
98,61,R9,R9,solar,0.0,0.0,,,1433163600,1433167200,1433167200
99,116,grid,R9,grid,0.1449,0.1449,,,1433163600,1433167200,1433167200
100,312,R7,R7,solar,0.0,0.0,,,1433163600,1433167200,1433167200
101,493,R7,grid,solar,0.069,0.069,,,1433163600,1433167200,1433167200
102,137,R12,R12,solar,0.0,0.0,,,1433163600,1433167200,1433167200
103,552,grid,R12,grid,0.1449,0.1449,,,1433163600,1433167200,1433167200
104,1012,R14,R14,solar,0.0,0.0,,,1433163600,1433167200,1433167200
105,157,R14,grid,solar,0.069,0.069,,,1433163600,1433167200,1433167200
106,1109,R6,R6,solar,0.0,0.0,,,1433167200,1433170800,1433170800
107,623,grid,R6,grid,0.1449,0.1449,,,1433167200,1433170800,1433170800
108,683,R5,R5,solar,0.0,0.0,,,1433167200,1433170800,1433170800
109,2408,R5,grid,solar,0.069,0.069,,,1433167200,1433170800,1433170800
110,1471,R13,R13,solar,0.0,0.0,,,1433167200,1433170800,1433170800
111,3527,grid,R13,grid,0.1449,0.1449,,,1433167200,1433170800,1433170800
112,269,grid,R11,grid,0.1449,0.1449,,,1433167200,1433170800,1433170800
113,52,R8,R8,solar,0.0,0.0,,,1433167200,1433170800,1433170800
114,763,grid,R8,grid,0.1449,0.1449,,,1433167200,1433170800,1433170800
115,4451,R10,R10,solar,0.0,0.0,,,1433167200,1433170800,1433170800
116,1497,grid,R10,grid,0.1449,0.1449,,,1433167200,1433170800,1433170800
117,167,R9,R9,solar,0.0,0.0,,,1433167200,1433170800,1433170800
118,132,R9,grid,solar,0.069,0.069,,,1433167200,1433170800,1433170800
119,537,R7,R7,solar,0.0,0.0,,,1433167200,1433170800,1433170800
120,1913,R7,grid,solar,0.069,0.069,,,1433167200,1433170800,1433170800
121,842,R12,R12,solar,0.0,0.0,,,1433167200,1433170800,1433170800
122,761,grid,R12,grid,0.1449,0.1449,,,1433167200,1433170800,1433170800
123,1502,R14,R14,solar,0.0,0.0,,,1433167200,1433170800,1433170800
124,858,R14,grid,solar,0.069,0.069,,,1433167200,1433170800,1433170800
125,1608,R6,R6,solar,0.0,0.0,,,1433170800,1433174400,1433174400
126,155,grid,R6,grid,0.1449,0.1449,,,1433170800,1433174400,1433174400
127,635,R5,R5,solar,0.0,0.0,,,1433170800,1433174400,1433174400
128,2667,R5,grid,solar,0.069,0.069,,,1433170800,1433174400,1433174400
129,2700,R13,R13,solar,0.0,0.0,,,1433170800,1433174400,1433174400
130,1064,R13,grid,solar,0.069,0.069,,,1433170800,1433174400,1433174400
131,35,R11,R11,solar,0.0,0.0,,,1433170800,1433174400,1433174400
132,315,grid,R11,grid,0.1449,0.1449,,,1433170800,1433174400,1433174400
133,298,R8,R8,solar,0.0,0.0,,,1433170800,1433174400,1433174400
