time,from,to,size
1,1,2,0.26373
1,1,5,0.0376802
1,1,6,0.0376796
1,1,7,0.0376794
1,2,3,0.150691
1,2,8,0.0376748
1,2,9,0.0376748
1,2,10,0.0376741
1,3,11,0.0376718
1,3,4,0.075341
1,3,12,0.0376713
1,4,13,0.0376698
1,4,14,0.0376695
2,1,2,0.291873
2,1,5,0.0417016
2,1,6,0.0417009
2,1,7,0.0417006
2,2,3,0.16677
2,2,8,0.041695
2,2,9,0.041695
2,2,10,0.0416942
2,3,11,0.0416913
2,3,4,0.0833796
2,3,12,0.0416908
2,4,13,0.0416889
2,4,14,0.0416886
3,1,2,0.492247
3,1,5,0.0703364
3,1,6,0.0703343
3,1,7,0.0703336
3,2,3,0.281241
3,2,8,0.0703176
3,2,9,0.0703176
3,2,10,0.0703154
3,3,11,0.0703071
3,3,4,0.140605
3,3,12,0.0703055
3,4,13,0.0703002
3,4,14,0.0702993
4,1,2,1.03177
4,1,5,0.147463
4,1,6,0.147454
4,1,7,0.147451
4,2,3,0.58939
4,2,8,0.147381
4,2,9,0.147381
4,2,10,0.147371
4,3,11,0.147335
4,3,4,0.294629
4,3,12,0.147327
4,4,13,0.147304
4,4,14,0.1473
5,1,2,1.73151
5,1,5,0.247551
5,1,6,0.247526
5,1,7,0.247517
5,2,3,0.988889
5,2,8,0.247318
5,2,9,0.247318
5,2,10,0.24729
5,3,11,0.247186
5,3,4,0.494256
5,3,12,0.247163
5,4,13,0.247097
5,4,14,0.247086
6,1,2,2.06435
6,1,5,0.295182
6,1,6,0.295146
6,1,7,0.295134
6,2,3,1.17885
6,2,8,0.294849
6,2,9,0.294849
6,2,10,0.294809
6,3,11,0.294661
6,3,4,0.58916
6,3,12,0.29463
6,4,13,0.294536
6,4,14,0.29452
7,1,2,1.73155
7,1,5,0.247559
7,1,6,0.247533
7,1,7,0.247525
7,2,3,0.988922
7,2,8,0.247323
7,2,9,0.247323
7,2,10,0.247295
7,3,11,0.247191
7,3,4,0.494275
7,3,12,0.247172
7,4,13,0.247106
7,4,14,0.247095
8,1,2,0.433301
8,5,1,2.08e-07
8,1,6,0.148423
8,7,1,2.02e-07
8,2,3,0.136475
8,2,8,0.148397
8,9,2,1.43e-07
8,2,10,0.148387
8,11,3,1.47e-07
8,4,3,0.011915
8,3,12,0.148385
8,13,4,0.0119149
8,14,4,2.19e-07
9,2,1,0.0283334
9,1,5,7.04e-08
9,1,6,0.0706808
9,1,7,7.23e-08
9,3,2,0.1697
9,2,8,0.0706844
9,2,9,4.65e-08
9,2,10,0.0706822
9,3,11,5.6e-08
9,4,3,0.240401
9,3,12,0.0706918
9,13,4,0.240418
9,4,14,1.02e-07
10,2,1,0.273284
10,1,5,7.86e-08
10,1,6,0.0419052
10,1,7,7.95e-08
10,3,2,0.357127
10,2,8,0.0419126
10,2,9,5.52e-08
10,2,10,0.0419118
10,3,11,6.36e-08
10,4,3,0.399086
10,3,12,0.0419218
10,13,4,0.399133
10,4,14,1.06e-07
11,2,1,0.389016
11,1,5,4.9e-08
11,1,6,0.0378878
11,1,7,4.95e-08
11,3,2,0.464847
11,2,8,0.0378968
11,2,9,3.64e-08
11,2,10,0.0378962
11,3,11,4.12e-08
11,4,3,0.502818
11,3,12,0.0379076
11,13,4,0.502892
11,4,14,6.46e-08
12,2,1,0.45196
12,1,5,3.02e-08
12,1,6,0.0378266
12,1,7,3.05e-08
12,3,2,0.527684
12,2,8,0.0378369
12,2,9,2.29e-08
12,2,10,0.0378363
12,3,11,2.58e-08
12,4,3,0.565615
12,3,12,0.0378492
12,13,4,0.565708
12,4,14,3.95e-08
13,2,1,0.753852
13,1,5,6.58e-08
13,1,6,0.063264
13,1,7,6.67e-08
13,3,2,0.559353
13,2,8,0.0632918
13,9,2,0.321212
13,2,10,0.06329
13,11,3,0.0602347
13,4,3,0.562522
13,3,12,0.0633134
13,13,4,0.562614
13,4,14,1.01e-07
14,2,1,1.12973
14,5,1,0.475078
14,1,6,0.133638
14,7,1,0.348326
14,3,2,0.922095
14,2,8,0.133726
14,9,2,0.475367
14,2,10,0.133718
14,11,3,0.475555
14,4,3,0.58057
14,3,12,0.133798
14,13,4,0.47575
14,14,4,0.104918
15,2,1,0.576309
15,5,1,0.314857
15,1,6,0.227809
15,7,1,0.314911
15,3,2,0.717211
15,2,8,0.227902
15,9,2,0.314954
15,2,10,0.227878
15,11,3,0.315058
15,4,3,0.630296
15,3,12,0.228
15,13,4,0.315197
15,14,4,0.315215
16,1,2,0.481637
16,5,1,0.118979
16,1,6,0.319184
16,7,1,0.118986
16,3,2,0.0377117
16,2,8,0.319146
16,9,2,0.118948
16,2,10,0.3191
16,11,3,0.118946
16,4,3,0.237917
16,3,12,0.319151
16,13,4,0.118966
16,14,4,0.118968
17,1,2,1.23184
17,1,5,5.17e-07
17,1,6,0.38491
17,1,7,5.13e-07
17,2,3,0.462125
17,2,8,0.384717
17,2,9,3.18e-07
17,2,10,0.384649
17,3,11,3.42e-07
17,3,4,0.0774589
17,3,12,0.384602
17,4,13,0.0774565
17,4,14,5.97e-07
18,1,2,1.47665
18,1,5,1.95e-07
18,1,6,0.409022
18,1,7,1.94e-07
18,2,3,0.658698
18,2,8,0.408762
18,2,9,1.31e-07
18,2,10,0.408686
18,3,11,1.41e-07
18,3,4,0.249977
18,3,12,0.408591
18,4,13,0.249959
18,4,14,2.28e-07
19,1,2,1.53517
19,1,5,4.94e-08
19,1,6,0.383989
19,1,7,4.93e-08
19,2,3,0.767237
19,2,8,0.383727
19,2,9,4e-08
19,2,10,0.38366
19,3,11,4.23e-08
19,3,4,0.38352
19,3,12,0.383542
19,4,13,0.383476
19,4,14,5.66e-08
20,1,2,1.26649
20,5,1,1.83e-07
20,1,6,0.316757
20,7,1,1.82e-07
20,2,3,0.633011
20,2,8,0.316579
20,9,2,1.21e-07
20,2,10,0.316533
