"id","quantity","seller_id","buyer_id","energy_source","settlement_price_sell","settlement_price_buy","fee_ask","fee_bid","time_creation","time_purchase","time_consumption"
5468,4,R11,R5,solar,0.0734,0.0755,,,1530451140,1530451140,1530451200
5469,9,R11,R5,solar,0.0734,0.0755,,,1530451140,1530451140,
5470,11,R13,R5,solar,0.07,0.0755,,,1530451140,1530451140,
5471,1,R13,R6,grid,0.0,-0.1449,,,1530451140,1530451200,
5472,4,R10,R10,solar,0.0,0.0,,,1530451140,1530451200,1530451200
5473,5,grid,R10,grid,0.1449,0.1449,,,1530451140,1530451200,1530451200
5474,3,grid,R11,grid,0.1449,0.1449,,,1530451140,1530451200,1530451200
5475,2,R7,R7,solar,0.0,0.0,,,1530451140,1530451200,1530451200
5476,15,grid,R7,grid,0.1449,0.1449,,,1530451140,1530451200,1530451200
5477,11,grid,R14,grid,0.1449,0.1449,,,1530451140,1530451200,1530451200
5478,2,R8,R8,solar,0.0,0.0,,,1530451140,1530451200,1530451200
5479,8,grid,R8,grid,0.1449,0.1449,,,1530451140,1530451200,1530451200
5480,1,R12,R12,solar,0.0,0.0,,,1530451140,1530451200,1530451200
5481,10,grid,R12,grid,0.1449,0.1449,,,1530451140,1530451200,1530451200
5482,1,R13,grid,solar,0.069,0.069,,,1530451140,1530451200,1530451200
5483,7,grid,R13,grid,0.1449,0.1449,,,1530451140,1530451200,1530451200
5484,1,R9,R9,solar,0.0,0.0,,,1530451140,1530451200,1530451200
5485,9,grid,R9,grid,0.1449,0.1449,,,1530451140,1530451200,1530451200
5486,2,R5,R5,solar,0.0,0.0,,,1530451140,1530451200,1530451200
5487,2,R6,R6,solar,0.0,0.0,,,1530451140,1530451200,1530451200
5488,4,grid,R6,grid,0.1449,0.1449,,,1530451140,1530451200,1530451200
5489,4,R14,R5,solar,0.0718,0.075,,,1530451200,1530451200,1530451260
5490,5,R14,R12,grid,0.0,-0.1449,,,1530451200,1530451260,
5491,6,R14,R5,solar,0.0718,0.075,,,1530451200,1530451200,
5492,14,R8,R5,solar,0.0712,0.075,,,1530451200,1530451200,
5493,4,R10,R10,solar,0.0,0.0,,,1530451200,1530451260,1530451260
5494,5,grid,R10,grid,0.1449,0.1449,,,1530451200,1530451260,1530451260
5495,1,R11,R11,solar,0.0,0.0,,,1530451200,1530451260,1530451260
5496,2,grid,R11,grid,0.1449,0.1449,,,1530451200,1530451260,1530451260
5497,2,R7,R7,solar,0.0,0.0,,,1530451200,1530451260,1530451260
5498,15,grid,R7,grid,0.1449,0.1449,,,1530451200,1530451260,1530451260
5499,11,grid,R14,grid,0.1449,0.1449,,,1530451200,1530451260,1530451260
5500,2,R8,grid,solar,0.069,0.069,,,1530451200,1530451260,1530451260
5501,109,grid,R8,grid,0.1449,0.1449,,,1530451200,1530451260,1530451260
5502,1,R12,R12,solar,0.0,0.0,,,1530451200,1530451260,1530451260
5503,10,grid,R12,grid,0.1449,0.1449,,,1530451200,1530451260,1530451260
5504,1,R13,R13,solar,0.0,0.0,,,1530451200,1530451260,1530451260
5505,6,grid,R13,grid,0.1449,0.1449,,,1530451200,1530451260,1530451260
5506,1,R9,R9,solar,0.0,0.0,,,1530451200,1530451260,1530451260
5507,9,grid,R9,grid,0.1449,0.1449,,,1530451200,1530451260,1530451260
5508,2,R5,R5,solar,0.0,0.0,,,1530451200,1530451260,1530451260
5509,2,R6,R6,solar,0.0,0.0,,,1530451200,1530451260,1530451260
5510,4,grid,R6,grid,0.1449,0.1449,,,1530451200,1530451260,1530451260
5511,1,R8,R11,solar,0.0777,0.1311,,,1530451260,1530451260,1530451320
5512,1,R9,R11,solar,0.1222,0.1311,,,1530451260,1530451260,1530451320
5513,13,R9,R11,solar,0.1222,0.1311,,,1530451260,1530451260,
5514,4,R8,R14,grid,0.0,-0.1449,,,1530451260,1530451320,
5515,5,R13,R14,grid,0.0,-0.1449,,,1530451260,1530451320,
5516,4,R10,R10,solar,0.0,0.0,,,1530451260,1530451320,1530451320
5517,5,grid,R10,grid,0.1449,0.1449,,,1530451260,1530451320,1530451320
5518,1,R11,R11,solar,0.0,0.0,,,1530451260,1530451320,1530451320
5519,3,R7,R7,solar,0.0,0.0,,,1530451260,1530451320,1530451320
5520,12,grid,R7,grid,0.1449,0.1449,,,1530451260,1530451320,1530451320
5521,1,R14,R14,solar,0.0,0.0,,,1530451260,1530451320,1530451320
5522,10,grid,R14,grid,0.1449,0.1449,,,1530451260,1530451320,1530451320
5523,1,R8,grid,solar,0.069,0.069,,,1530451260,1530451320,1530451320
5524,109,grid,R8,grid,0.1449,0.1449,,,1530451260,1530451320,1530451320
5525,2,R12,R12,solar,0.0,0.0,,,1530451260,1530451320,1530451320
5526,10,grid,R12,grid,0.1449,0.1449,,,1530451260,1530451320,1530451320
5527,1,R13,grid,solar,0.069,0.069,,,1530451260,1530451320,1530451320
5528,8,grid,R13,grid,0.1449,0.1449,,,1530451260,1530451320,1530451320
5529,9,grid,R9,grid,0.1449,0.1449,,,1530451260,1530451320,1530451320
5530,2,R5,R5,solar,0.0,0.0,,,1530451260,1530451320,1530451320
5531,4,grid,R5,grid,0.1449,0.1449,,,1530451260,1530451320,1530451320
5532,2,R6,R6,solar,0.0,0.0,,,1530451260,1530451320,1530451320
5533,4,grid,R6,grid,0.1449,0.1449,,,1530451260,1530451320,1530451320
5534,1,R14,R11,solar,0.0861,0.1122,,,1530451320,1530451320,1530451380
5535,1,R13,R11,solar,0.0709,0.1122,,,1530451320,1530451320,1530451380
