hour, t(sec), S1 (kVA), Ang1
1, 0.00000, 0.041866, 25.8415
2, 0.00000, 0.0463341, 25.8415
3, 0.00000, 0.0781488, 25.8413
4, 0.00000, 0.163838, 25.8416
5, 0.00000, 0.275031, 25.8428
6, 0.00000, 0.327937, 25.8409
7, 0.00000, 0.275027, 25.8376
8, 0.00000, 0.164911, 25.8397
9, 0.00000, 0.0785338, 25.8413
10, 0.00000, 0.0465612, 25.8415
11, 0.00000, 0.0420974, 25.8415
12, 0.00000, 0.0420294, 25.8415
13, 0.00000, 0.0702931, 25.8415
14, 0.00000, 0.148488, 25.8436
15, 0.00000, 0.253113, 25.8379
16, 0.00000, 0.354641, 25.8391
17, 0.00000, 0.427672, 25.8401
18, 0.00000, 0.454454, 25.8383
19, 0.00000, 0.42664, 25.8379
20, 0.00000, 0.35194, 25.8378
21, 0.00000, 0.249285, 25.8389
22, 0.00000, 0.145917, 25.8403
23, 0.00000, 0.0697935, 25.8413
24, 0.00000, 0.0418342, 25.8415
25, 0.00000, 0.0419221, 25.8415
26, 0.00000, 0.0464029, 25.8415
27, 0.00000, 0.0783448, 25.8412
28, 0.00000, 0.164706, 25.8406
29, 0.00000, 0.2775, 25.84
30, 0.00000, 0.331467, 25.8392
31, 0.00000, 0.277499, 25.8389
32, 0.00000, 0.164911, 25.8401
33, 0.00000, 0.0785338, 25.8413
34, 0.00000, 0.0465612, 25.8415
35, 0.00000, 0.0420974, 25.8415
36, 0.00000, 0.0420294, 25.8415
37, 0.00000, 0.0705963, 25.8424
38, 0.00000, 0.14867, 25.8426
39, 0.00000, 0.253113, 25.8375
40, 0.00000, 0.354641, 25.8391
41, 0.00000, 0.427672, 25.8401
42, 0.00000, 0.454454, 25.8383
43, 0.00000, 0.42664, 25.8379
44, 0.00000, 0.35194, 25.8378
45, 0.00000, 0.249285, 25.8389
46, 0.00000, 0.145917, 25.8403
47, 0.00000, 0.0697935, 25.8413
48, 0.00000, 0.0418342, 25.8415
49, 0.00000, 0.0419221, 25.8415
50, 0.00000, 0.0464029, 25.8415
51, 0.00000, 0.0783448, 25.8412
52, 0.00000, 0.164706, 25.8406
53, 0.00000, 0.2775, 25.84
54, 0.00000, 0.331467, 25.8392
55, 0.00000, 0.277499, 25.8389
56, 0.00000, 0.164911, 25.8401
57, 0.00000, 0.0785338, 25.8413
58, 0.00000, 0.0465612, 25.8415
59, 0.00000, 0.0420974, 25.8415
60, 0.00000, 0.0420294, 25.8415
61, 0.00000, 0.0704631, 25.8418
62, 0.00000, 0.14837, 25.8424
63, 0.00000, 0.253113, 25.8382
64, 0.00000, 0.354641, 25.8391
65, 0.00000, 0.427672, 25.8401
66, 0.00000, 0.454454, 25.8383
67, 0.00000, 0.42664, 25.8379
68, 0.00000, 0.35194, 25.8378
69, 0.00000, 0.249285, 25.8389
70, 0.00000, 0.145917, 25.8403
71, 0.00000, 0.0697935, 25.8413
72, 0.00000, 0.0418342, 25.8415
73, 0.00000, 0.0419221, 25.8415
74, 0.00000, 0.0464029, 25.8415
75, 0.00000, 0.0783448, 25.8412
76, 0.00000, 0.164706, 25.8406
77, 0.00000, 0.2775, 25.84
78, 0.00000, 0.331467, 25.8392
79, 0.00000, 0.277499, 25.8389
80, 0.00000, 0.0418661, 25.8415
81, 0.00000, 0.0463341, 25.8415
82, 0.00000, 0.0781488, 25.8413
83, 0.00000, 0.163838, 25.8416
84, 0.00000, 0.275031, 25.8428
85, 0.00000, 0.327937, 25.8409
86, 0.00000, 0.275027, 25.8376
87, 0.00000, 0.164911, 25.8397
88, 0.00000, 0.0785338, 25.8413
89, 0.00000, 0.0465612, 25.8415
90, 0.00000, 0.0420974, 25.8415
91, 0.00000, 0.0420294, 25.8415
92, 0.00000, 0.0702931, 25.8415
93, 0.00000, 0.148488, 25.8436
94, 0.00000, 0.253113, 25.8379
95, 0.00000, 0.354641, 25.8391
96, 0.00000, 0.427672, 25.8401
97, 0.00000, 0.454454, 25.8383
98, 0.00000, 0.42664, 25.8379
99, 0.00000, 0.35194, 25.8378
100, 0.00000, 0.249285, 25.8389
101, 0.00000, 0.145917, 25.8403
102, 0.00000, 0.0697935, 25.8413
103, 0.00000, 0.0418342, 25.8415
104, 0.00000, 0.0419221, 25.8415
