hour, t(sec), P1 (kW), Q1 (kvar)
1, 0.00000, 0.150691, 0.0671187
2, 0.00000, 0.16677, 0.0742804
3, 0.00000, 0.281241, 0.125266
4, 0.00000, 0.58939, 0.262527
5, 0.00000, 0.988889, 0.440508
6, 0.00000, 1.17885, 0.525085
7, 0.00000, 0.988922, 0.440409
8, 0.00000, 0.136475, 0.0660966
9, 0.00000, -0.1697, -0.0821959
10, 0.00000, -0.357127, -0.17298
11, 0.00000, -0.464847, -0.225156
12, 0.00000, -0.527684, -0.255594
13, 0.00000, -0.559353, -0.261565
14, 0.00000, -0.922095, -0.372711
15, 0.00000, -0.717211, -0.29832
16, 0.00000, -0.0377117, 0.000240988
17, 0.00000, 0.462125, 0.223825
18, 0.00000, 0.658698, 0.319011
19, 0.00000, 0.767237, 0.371563
20, 0.00000, 0.633011, 0.306552
21, 0.00000, 0.448472, 0.21719
22, 0.00000, 0.262568, 0.127164
23, 0.00000, 0.125609, 0.0608346
24, 0.00000, 0.0752948, 0.0364666
25, 0.00000, 0.075453, 0.0365433
26, 0.00000, 0.0835168, 0.0404487
27, 0.00000, 0.140997, 0.0682869
28, 0.00000, 0.296364, 0.143532
29, 0.00000, 0.499195, 0.241767
30, 0.00000, 0.596207, 0.288745
31, 0.00000, 0.499199, 0.241758
32, 0.00000, 0.136475, 0.0660966
33, 0.00000, -0.1697, -0.0821959
34, 0.00000, -0.357127, -0.17298
35, 0.00000, -0.464847, -0.225156
36, 0.00000, -0.527684, -0.255594
37, 0.00000, -0.989889, -0.479568
38, 0.00000, -1.29494, -0.553203
39, 0.00000, -0.717215, -0.298312
40, 0.00000, -0.0377117, 0.000240988
41, 0.00000, 0.462125, 0.223825
42, 0.00000, 0.658698, 0.319011
43, 0.00000, 0.767237, 0.371563
44, 0.00000, 0.633011, 0.306552
45, 0.00000, 0.448472, 0.21719
46, 0.00000, 0.262568, 0.127164
47, 0.00000, 0.125609, 0.0608346
48, 0.00000, 0.0752948, 0.0364666
49, 0.00000, 0.075453, 0.0365433
50, 0.00000, 0.0835168, 0.0404487
51, 0.00000, 0.140997, 0.0682869
52, 0.00000, 0.296364, 0.143532
53, 0.00000, 0.499195, 0.241767
54, 0.00000, 0.596207, 0.288745
55, 0.00000, 0.499199, 0.241758
56, 0.00000, 0.136475, 0.0660966
57, 0.00000, -0.1697, -0.0821959
58, 0.00000, -0.357127, -0.17298
59, 0.00000, -0.464847, -0.225156
60, 0.00000, -0.527684, -0.255594
61, 0.00000, -0.566491, -0.264098
62, 0.00000, -1.2921, -0.551982
63, 0.00000, -0.717212, -0.298326
64, 0.00000, -0.0377117, 0.000240988
65, 0.00000, 0.462125, 0.223825
66, 0.00000, 0.658698, 0.319011
67, 0.00000, 0.767237, 0.371563
68, 0.00000, 0.633011, 0.306552
69, 0.00000, 0.448472, 0.21719
70, 0.00000, 0.262568, 0.127164
71, 0.00000, 0.125609, 0.0608346
72, 0.00000, 0.0752948, 0.0364666
73, 0.00000, 0.075453, 0.0365433
74, 0.00000, 0.0835168, 0.0404487
75, 0.00000, 0.140997, 0.0682869
76, 0.00000, 0.296364, 0.143532
77, 0.00000, 0.499195, 0.241767
78, 0.00000, 0.596207, 0.288745
79, 0.00000, 0.499199, 0.241758
80, 0.00000, 0.150691, 0.0671187
81, 0.00000, 0.16677, 0.0742804
82, 0.00000, 0.281241, 0.125266
83, 0.00000, 0.58939, 0.262527
84, 0.00000, 0.988889, 0.440508
